NAME : MOCVRP INSTANCE 1
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.986542 0.901732 0.000000
0.266246 0.237113 0.320000
0.981730 0.826122 0.160000
0.073092 0.446113 0.560000
0.862969 0.510927 0.080000
0.876974 0.188171 0.560000
0.508296 0.852607 0.320000
0.585251 0.295324 0.640000
0.543369 0.887657 0.320000
0.703879 0.867856 0.640000
0.062231 0.795103 0.080000
0.138899 0.943978 0.160000
0.506298 0.945370 0.560000
0.601757 0.484355 0.240000
0.976977 0.978561 0.480000
0.617162 0.314928 0.480000
0.674555 0.846717 0.720000
0.976094 0.391840 0.240000
0.047500 0.626465 0.480000
0.620364 0.032306 0.240000
0.470677 0.599158 0.400000
0.229437 0.645603 0.640000
0.202605 0.048244 0.720000
0.974632 0.342549 0.560000
0.651944 0.161048 0.560000
0.092860 0.129754 0.640000
0.893285 0.205462 0.080000
0.645850 0.131814 0.320000
0.663846 0.003274 0.160000
0.500059 0.433664 0.400000
0.160750 0.311805 0.560000
0.115680 0.764211 0.640000
0.579079 0.881835 0.480000
0.743058 0.929050 0.080000
0.648176 0.995800 0.560000
0.275439 0.094867 0.240000
0.293020 0.806457 0.400000
0.880114 0.690322 0.160000
0.072035 0.230393 0.640000
0.753049 0.390750 0.560000
0.539638 0.336816 0.560000
0.200206 0.690132 0.160000
0.527332 0.977129 0.720000
0.730006 0.080664 0.720000
0.410458 0.134202 0.320000
0.304424 0.585972 0.720000
0.451373 0.652457 0.400000
0.876325 0.225447 0.480000
0.202604 0.887339 0.160000
0.123028 0.146258 0.320000
0.436119 0.492009 0.720000

NAME : MOCVRP INSTANCE 2
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.646809 0.433434 0.000000
0.342993 0.339930 0.080000
0.781861 0.979167 0.640000
0.253737 0.098307 0.560000
0.393711 0.159476 0.240000
0.520334 0.999997 0.480000
0.783801 0.325872 0.080000
0.978384 0.103929 0.080000
0.943250 0.225713 0.560000
0.620466 0.432501 0.720000
0.728990 0.710150 0.480000
0.505603 0.860183 0.080000
0.452863 0.286571 0.080000
0.283142 0.787309 0.080000
0.704774 0.635033 0.240000
0.328591 0.481452 0.560000
