MOKP INSTANCE 1
W E I G H T   V A L U E 1   V A L U E 2
0.026168 0.758107 0.998343
0.002393 0.030451 0.064784
0.042978 0.138656 0.370151
0.058282 0.863156 0.380606
0.059449 0.468785 0.650194
0.043144 0.765614 0.269205
0.049002 0.002416 0.402556
0.074310 0.382108 0.336207
0.049781 0.202204 0.549172
0.063420 0.649485 0.478598
0.049957 0.657752 0.438535
0.066442 0.671257 0.473275
0.065693 0.940234 0.360323
0.038505 0.164074 0.938420
0.035842 0.727807 0.226323
0.019977 0.830549 0.161197
0.078631 0.478891 0.102120
0.076256 0.952490 0.897095
0.019766 0.698654 0.151390
0.011005 0.762975 0.364177
0.049123 0.339932 0.782565
0.050784 0.740620 0.644819
0.016913 0.302576 0.697202
0.022611 0.495397 0.392910
0.068208 0.895392 0.793748
0.005448 0.137078 0.459679
0.007943 0.993295 0.782351
0.000066 0.894454 0.841171
0.046506 0.050116 0.490422
0.076037 0.980927 0.998670
0.057406 0.402391 0.918512
0.050433 0.878488 0.371233
0.059448 0.783873 0.370600
0.054691 0.642575 0.121034
0.052338 0.061120 0.817693
0.036161 0.444643 0.882736
0.005557 0.388988 0.296787
0.045431 0.777808 0.780089
0.025712 0.816256 0.859047
0.019008 0.644115 0.680375
0.007075 0.705638 0.376936
0.027385 0.768249 0.178066
0.008300 0.138739 0.178568
0.010531 0.325940 0.145759
0.019808 0.455519 0.813981
0.025444 0.196408 0.956118
0.024925 0.776591 0.161180
0.063462 0.910098 0.444831
0.048355 0.610202 0.999857
0.010122 0.044130 0.185634

MOKP INSTANCE 2
W E I G H T   V A L U E 1   V A L U E 2
0.032830 0.667754 0.128084
0.031853 0.763640 0.587951
0.044850 0.163775 0.225286
0.037255 0.422099 0.239146
0.056067 0.907409 0.274898
0.072004 0.564456 0.277133
0.050880 0.875176 0.322635
0.060161 0.222189 0.526853
0.029216 0.195427 0.085066
0.053826 0.868958 0.589491
0.070675 0.008691 0.887979
0.036698 0.475770 0.171339
0.073350 0.078445 0.914545
0.001579 0.488573 0.883902
0.032446 0.704665 0.899183
0.013344 0.773139 0.896752
0.050329 0.034888 0.879675
0.042386 0.767338 0.347747
0.044924 0.501893 0.294614
0.032062 0.673954 0.542144
0.074322 0.061150 0.511766
0.004054 0.365001 0.220724
0.077710 0.568135 0.223445
0.054553 0.641051 0.751002
0.038404 0.406060 0.504328
