NAME : MOCVRP INSTANCE 1
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.625932 0.207652 0.000000
0.123693 0.994080 0.225000 
0.679297 0.483319 0.075000
0.634068 0.318394 0.125000
0.142635 0.233774 0.025000
0.793613 0.464685 0.125000
0.752535 0.399469 0.100000
0.770685 0.284823 0.050000
0.674726 0.392518 0.200000
0.150293 0.942589 0.025000
0.121244 0.003230 0.025000
0.915402 0.727291 0.050000
0.404713 0.666943 0.125000
0.669194 0.885983 0.150000
0.277103 0.598195 0.175000
0.851576 0.497121 0.175000
0.003741 0.872241 0.225000
0.315815 0.447040 0.175000
0.885068 0.113236 0.125000
0.866346 0.974253 0.200000
0.370809 0.121909 0.025000
0.823826 0.340490 0.025000
0.359212 0.263789 0.225000
0.466316 0.489417 0.025000
0.127873 0.011587 0.025000
0.205654 0.355361 0.125000
0.190133 0.283785 0.075000
0.712220 0.824707 0.175000
0.921807 0.539464 0.150000
0.143953 0.446391 0.125000
0.649523 0.059997 0.150000
0.681168 0.563076 0.150000
0.099004 0.687429 0.025000
0.721486 0.876647 0.100000
0.953602 0.079552 0.100000
0.061361 0.642917 0.200000
0.769515 0.191061 0.125000
0.544079 0.301040 0.075000
0.558816 0.683112 0.125000
0.385438 0.876609 0.125000
0.464760 0.686843 0.050000
0.705992 0.255229 0.050000
0.972801 0.196891 0.025000
0.261744 0.349612 0.025000
0.919097 0.450371 0.175000
0.568517 0.925290 0.150000
0.743058 0.290112 0.050000
0.876143 0.084800 0.150000
0.110936 0.401045 0.200000
0.334139 0.159003 0.050000
0.968447 0.005680 0.025000

NAME : MOCVRP INSTANCE 2
DEPOT_SECTION 1
CAPACITY : 1
COORD_DEMAND_SECTION
0.905959 0.672125 0.000000
0.904862 0.702362 0.125000
0.103952 0.110106 0.025000
0.149583 0.826398 0.050000
0.017074 0.598628 0.025000
0.636316 0.874303 0.100000
0.559562 0.083934 0.075000
0.167212 0.386851 0.150000
0.873065 0.291906 0.100000
0.683919 0.975171 0.050000
0.245614 0.846045 0.125000
0.539795 0.889773 0.100000
0.495378 0.382299 0.025000
0.490030 0.337744 0.025000
0.420093 0.790502 0.050000
0.348329 0.999701 0.175000
